country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","31-03-2025 00:00:00",23.80569,86.44268,SO2,8,50,23
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","31-03-2025 00:00:00",16.172806,75.659694,CO,14,36,23
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","31-03-2025 00:00:00",12.951913,77.539784,NO2,16,17,16
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","31-03-2025 00:00:00",12.951913,77.539784,NH3,2,2,2
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-03-2025 00:00:00",22.969611,72.643500,SO2,13,24,18
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","31-03-2025 00:00:00",28.593883,76.270653,PM2.5,134,275,212
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","31-03-2025 00:00:00",28.593883,76.270653,PM10,100,140,123
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","31-03-2025 00:00:00",28.593883,76.270653,CO,10,26,14
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","31-03-2025 00:00:00",22.410802,73.097923,SO2,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC","31-03-2025 00:00:00",21.170046,72.795405,SO2,46,63,54
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","31-03-2025 00:00:00",20.362421,72.918013,PM2.5,40,307,94
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","31-03-2025 00:00:00",23.020509,72.579261,OZONE,9,178,73
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","31-03-2025 00:00:00",23.043070,72.562968,PM2.5,55,133,78
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","31-03-2025 00:00:00",23.043070,72.562968,CO,26,109,58
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","31-03-2025 00:00:00",21.613267,73.010555,NO2,50,50,50
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","31-03-2025 00:00:00",21.613267,73.010555,CO,6,64,7
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","31-03-2025 00:00:00",23.221714,72.654328,CO,12,58,30
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","31-03-2025 00:00:00",23.020509,72.579261,PM2.5,44,79,59
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","31-03-2025 00:00:00",23.020509,72.579261,NO2,11,114,45
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","31-03-2025 00:00:00",23.020509,72.579261,NH3,3,14,5
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","31-03-2025 00:00:00",22.977134,72.553024,OZONE,1,173,73
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","31-03-2025 00:00:00",28.4227,77.0667,NH3,92,105,93
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","31-03-2025 00:00:00",12.951913,77.539784,OZONE,3,294,144
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","31-03-2025 00:00:00",12.9756843,77.5660749,PM10,92,105,99
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","31-03-2025 00:00:00",13.029152,77.585901,CO,4,44,30
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","31-03-2025 00:00:00",12.938539,77.590100,PM2.5,41,68,54
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","31-03-2025 00:00:00",12.938539,77.590100,OZONE,33,227,127
